anime_id,title,type,score,scored_by,status,episodes,start_date,end_date,source,members,favorites,episode_duration,total_duration,rating,sfw,approved,created_at,updated_at,start_year,start_season,real_start_date,real_end_date,broadcast_day,broadcast_time,genres,themes,demographics,studios,producers,licensors,synopsis,background,main_picture,url,trailer_url,title_english,title_japanese,title_synonyms
5114,Fullmetal Alchemist: Brotherhood,tv,9.1,2037075,finished_airing,64,2009-04-05,2010-07-04,manga,3206028,219036,0 days 00:24:20,1 days 01:57:20,r,TRUE,TRUE,2008-08-21 03:35:22+00:00,2023-04-02 18:07:03+00:00,2009,spring,2009-04-05,2010-07-04,sunday,17:00:00,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],['Bones'],"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']","After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://www.youtube.com/watch?v=--IcmZkvL0Q,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"['Hagane no Renkinjutsushi: Fullmetal Alchemist', 'Fullmetal Alchemist (2009)', 'FMA', 'FMAB']"
11061,Hunter x Hunter (2011),tv,09.04,1671587,finished_airing,148,2011-10-02,2014-09-24,manga,2688079,202109,0 days 00:23:37,2 days 10:15:16,pg_13,TRUE,TRUE,2011-07-27 08:41:39+00:00,2023-04-02 18:11:36+00:00,2011,fall,2011-10-02,2014-09-24,sunday,10:55:00,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Madhouse'],"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1337/99013l.jpg,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://www.youtube.com/watch?v=D9iTQRB4XRk,Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,['HxH (2011)']
38524,Shingeki no Kyojin Season 3 Part 2,tv,09.05,1491491,finished_airing,10,2019-04-29,2019-07-01,manga,2133927,55644,0 days 00:23:55,0 days 03:59:10,r,TRUE,TRUE,2018-10-14 18:13:45+00:00,2023-04-02 18:10:19+00:00,2019,spring,2019-04-29,2019-07-01,monday,00:10:00,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",Shingeki no Kyojin adapts content from volumes 18-22 of Hajime Isayama's award-winning manga of the same name.,https://cdn.myanimelist.net/images/anime/1517/100633l.jpg,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://www.youtube.com/watch?v=hKHepjfj5Tw,Attack on Titan Season 3 Part 2,進撃の巨人 Season3 Part.2,[]
40028,Shingeki no Kyojin: The Final Season,tv,8.8,1237778,finished_airing,16,2020-12-07,2021-03-29,manga,1872476,51504,0 days 00:23:55,0 days 06:22:40,r,TRUE,TRUE,2019-06-30 16:47:58+00:00,2023-04-02 18:19:36+00:00,2021,winter,2020-12-07,2021-03-29,monday,00:10:00,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['MAPPA'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.

Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.

In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.

[Written by MAL Rewrite]",Shingeki no Kyojin: The Final Season adapts content from volumes 23-28 of Hajime Isayama's award-winning manga.,https://cdn.myanimelist.net/images/anime/1000/110531l.jpg,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://www.youtube.com/watch?v=SlNpRThS9t8,Attack on Titan: Final Season,進撃の巨人 The Final Season,"['Shingeki no Kyojin Season 4', 'Attack on Titan Season 4']"
1535,Death Note,tv,8.62,2642716,finished_airing,37,2006-10-04,2007-06-27,manga,3747523,168772,0 days 00:23:00,0 days 14:11:00,r,TRUE,TRUE,2006-10-04 03:39:19+00:00,2023-04-02 18:30:58+00:00,2006,fall,2006-10-04,2007-06-27,wednesday,00:56:00,"['Supernatural', 'Suspense']","['Detective', 'Psychological']",['Shounen'],['Madhouse'],"['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]
","Death Note has been adapted into live action films, TV dramas, video games, light novels and a musical composed by a Broadway composer. It is licensed in North America by Viz Media.",https://cdn.myanimelist.net/images/anime/9/9453l.jpg,https://myanimelist.net/anime/1535/Death_Note,https://www.youtube.com/watch?v=Vt_3c8BgxV4,Death Note,デスノート,['DN']
21,One Piece,tv,8.7,1248354,currently_airing,,1999-10-20,,manga,2204897,203640,0 days 00:24:00,,pg_13,TRUE,TRUE,2005-11-11 01:20:50+00:00,2023-07-31 16:32:14+00:00,1999,fall,1999-10-20,,sunday,09:30:00,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Toei Animation'],"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']","Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]","Several anime-original arcs have been adapted into light novels, and the series has inspired 50+ video games as of 2023. In June 2004, One Piece was licensed in North America by 4Kids Entertainment, which partnered with Viz Media for home video distribution. As One Piece proved unsuitable for their target demographic, 4Kids Entertainment censored the show to meet their standards, and, in December 2006, they stopped its production. In April 2007, Funimation took over the series licensing, providing an uncut version that remained faithful to the original release. In Japan, the anime's first 574 episodes were released exclusively on DVD by Avex Pictures from February 21, 2001, to December 4, 2013. Blu-rays also became available with the DVDs starting on January 8, 2014. In North America, Viz Media released the anime on DVD between February 28, 2006, and June 26, 2007. Funimation has re-released and continued the series since May 27, 2008. From March 23, 2021, the DVDs were accompanied by Blu-rays as well.",https://cdn.myanimelist.net/images/anime/6/73245l.jpg,https://myanimelist.net/anime/21/One_Piece,https://www.youtube.com/watch?v=l_98K4_6UQ0,One Piece,ONE PIECE,['OP']
40748,Jujutsu Kaisen,tv,8.63,1496707,finished_airing,24,2020-10-03,2021-03-27,manga,2304046,82645,0 days 00:23:55,0 days 09:34:00,r,TRUE,TRUE,2019-11-20 09:38:26+00:00,2023-01-09 15:03:40+00:00,2020,fall,2020-10-03,2021-03-27,saturday,01:25:00,"['Action', 'Award Winning', 'Fantasy']",['School'],['Shounen'],['MAPPA'],"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",['VIZ Media'],"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the ""King of Curses.""

Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Metropolitan Jujutsu Technical High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.

[Written by MAL Rewrite]",Winner of the Anime of the Year (TV Series) at the 2022 Tokyo Anime Award Festival (TAAF).,https://cdn.myanimelist.net/images/anime/1171/109222l.jpg,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,https://www.youtube.com/watch?v=4A_X-Dvl0ws,Jujutsu Kaisen,呪術廻戦,"['Sorcery Fight', 'JJK']"
35760,Shingeki no Kyojin Season 3,tv,8.62,1524632,finished_airing,12,2018-07-23,2018-10-15,manga,2239336,19933,0 days 00:23:54,0 days 04:46:48,r,TRUE,TRUE,2017-06-17 14:15:58+00:00,2023-02-15 15:05:51+00:00,2018,summer,2018-07-23,2018-10-15,monday,00:35:00,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.

After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.

Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: their fellow humans.

[Written by MAL Rewrite]",Shingeki no Kyojin Season 3 adapts content from manga volumes 13-17.,https://cdn.myanimelist.net/images/anime/1173/92110l.jpg,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,https://www.youtube.com/watch?v=EHzBhrncmac,Attack on Titan Season 3,進撃の巨人 Season3,[]
23273,Shigatsu wa Kimi no Uso,tv,8.65,1301734,finished_airing,22,2014-10-10,2015-03-20,manga,2130316,83956,0 days 00:22:55,0 days 08:24:10,pg_13,TRUE,TRUE,2014-03-21 13:04:16+00:00,2023-05-21 02:19:39+00:00,2014,fall,2014-10-10,2015-03-20,friday,01:20:00,"['Drama', 'Romance']","['Love Polygon', 'Music', 'School']",['Shounen'],['A-1 Pictures'],"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Aniplex of America'],"Kousei Arima is a child prodigy known as the ""Human Metronome"" for playing the piano with precision and perfection. Guided by a strict mother and rigorous training, Kousei dominates every competition he enters, earning the admiration of his musical peers and praise from audiences. When his mother suddenly passes away, the subsequent trauma makes him unable to hear the sound of a piano, and he never takes the stage thereafter.

Nowadays, Kousei lives a quiet and unassuming life as a junior high school student alongside his friends Tsubaki Sawabe and Ryouta Watari. While struggling to get over his mother's death, he continues to cling to music. His monochrome life turns upside down the day he encounters the eccentric violinist Kaori Miyazono, who thrusts him back into the spotlight as her accompanist. Through a little lie, these two young musicians grow closer together as Kaori tries to fill Kousei's world with color.

[Written by MAL Rewrite]
",Winner in the anime division of the 2016 Sugoi Japan® Awards.,https://cdn.myanimelist.net/images/anime/3/67177l.jpg,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,https://www.youtube.com/watch?v=aMJpI_fEsA4,Your Lie in April,四月は君の嘘,['Kimiuso']
37510,Mob Psycho 100 II,tv,8.8,914491,finished_airing,13,2019-01-07,2019-04-01,web_manga,1450818,31753,0 days 00:24:10,0 days 05:14:10,pg_13,TRUE,TRUE,2018-03-18 10:14:35+00:00,2023-04-02 18:19:53+00:00,2019,winter,2019-01-07,2019-04-01,monday,23:00:00,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],['Bones'],"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.

While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.

[Written by MAL Rewrite]",,https://cdn.myanimelist.net/images/anime/1918/96303l.jpg,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://www.youtube.com/watch?v=Pr43Sayk37s,Mob Psycho 100 II,モブサイコ100 II,"['Mob Psycho 100 2nd Season', 'Mob Psycho Hyaku', 'Mob Psycho One Hundred']"
